MGI symbol,430AV2_ForeNonOlig_Enrich,430AV2_ForeNonOlig_Hedges_g,430AV2_ForeNonOlig_Var_g,430AV2_ForeNonOlig_SEg
Mocos,0.13754166666666734,0.7148253273819015,0.3107190100167575,0.5574217523713597
Mocs2,-0.02268388888889028,0.11312618760053178,0.29366956333405686,0.5419097828741903
Mog,-0.04302333333333319,-0.0694091522214532,0.2896291092561516,0.5381720071279735
Mogat1,0.014558333333332563,0.06465582783848409,0.28960255699204235,0.5381473376242257
Mogat2,0.18412666666666677,1.4631224971565373,0.3786253513925466,0.6153254028500259
Mogs,-0.19587666666666692,-0.561473557888135,0.30256389783096244,0.5500580858699947
Morc1,0.024283333333332546,0.19054905016755325,0.29094124717730396,0.5393896988053294
Morc3,-0.12387333333333306,-0.27408508758664873,0.29255848445720495,0.5408867575169547
Morc4,0.37748666666666875,0.6443689881819834,0.30672884936109207,0.5538310657240997
Morf4l1,-0.009258333333331592,0.024148459723033974,0.30249533698942227,0.5499948084646679
Morf4l2,0.09810833333333413,1.2690246297777732,0.3565293542799229,0.5971007907212343
Morn3,-0.1658300000000006,-0.3578008262405054,0.29476260095808027,0.5429204370421878
Morn4,-0.07862833333333441,-0.4653374107232923,0.2984508290647581,0.5463065339758972
Mos,-0.24788833333333304,-1.0731946784601871,0.33741782540045007,0.5808767729910106
Mospd1,0.11113166666666707,0.2636313078909,0.2923242690931585,0.540670203629864
Mospd2,0.14248814814814825,0.2835883554550712,0.2928434888353672,0.5411494957139581
Mov10,-0.10116833333333375,-0.20767382093728726,0.29122539198492625,0.5396530292557675
Mov10l1,-0.11249333333333311,-0.2608439107142466,0.2922633557288433,0.5406138693456202
Moxd1,-0.2790650000000001,-0.48185885892271213,0.2991028729857432,0.5469029831567416
Moxd2,-0.1134383333333342,-0.5856221654591274,0.30371809635052394,0.5511062477875966
Mpc1,-0.10556499999999858,-0.548407659968346,0.3019596647186456,0.5495085665561962
Mpc1-ps,-0.10556499999999858,-0.548407659968346,0.3019596647186456,0.5495085665561963
Mpc2,0.025486666666663993,0.2648636719821325,0.2923514065196415,0.5406952991469793
Mpdu1,-0.06047000000000047,-0.158851259959744,0.2904797797719307,0.5389617609552005
Mpdz,0.3701157017543858,0.8354391125580648,0.32029636546503343,0.5657934816164856
Mpeg1,-0.18727499999999786,-0.262464125674019,0.2922986837083902,0.5406465423068848
Mpg,-0.09411166666666615,-0.3725493804575301,0.3059989154993094,0.5529872581135253
Mphosph10,0.07467499999999887,0.2710946735269069,0.29316548792091246,0.5414387700996071
Mphosph6,-0.20652833333333387,-0.6723098938884278,0.30826173271482527,0.555213231754094
Mphosph8,0.1854068333333327,0.8319267991824548,0.3187865209833457,0.564565605628484
Mphosph9,-0.33339666666666723,-0.8755149042083843,0.3213669724677731,0.5668923817337583
Mpi,-0.11697666666666606,-0.33476192724270326,0.2940977724861161,0.5423078207864203
Mpl,0.14065025641025639,0.23054185024778656,0.3129540790917697,0.559216638491661
Mplkip,-0.22902666666666605,-1.3426350672307992,0.36453957981222457,0.603771131979846
Mpnd,-0.12232499999999824,-0.7331669432055485,0.3118256149310377,0.5584134802554804
Mpo,-0.2950499999999998,-0.3257953537228339,0.29385098351012184,0.5420802371514035
Mpp1,-0.12509833333333448,-0.20788453500571444,0.29131979382416123,0.5397399194464008
Mpp2,-0.02136166666666739,-0.053848554825443554,0.2895491941080136,0.5380977551597977
Mpp3,0.1148699999999998,0.42396687035722735,0.296917870787335,0.5449017074549638
Mpp4,0.061439444444444526,0.15481990416093314,0.2908577458190782,0.5393114804361625
Mpp5,-0.09393555555555544,-0.28761634390645624,0.30211743831390464,0.5494195077438958
Mpp6,-0.014525000000002564,-0.11117219434246536,0.28994334368876906,0.5384638740795608
Mpp7,0.41588666666666807,0.8892852852897284,0.3223795545986821,0.5677847784140414
Mpst,-0.6117750000000006,-0.7700990302315014,0.3141388961707932,0.5604809507653166
Mptx1,-0.05140166666666701,-0.3885437110197342,0.29571863362952183,0.5438001780337349
Mpv17,-0.18314499999999967,-0.5828061286259413,0.3035809989708123,0.5509818499468128
Mpv17l,0.025888333333332625,0.19847121627941525,0.2910696589761237,0.5395087200186144
Mpz,-0.31663500000000067,-0.40487553190434483,0.29625854950293184,0.5442963802037745
Mpzl2,0.6252424999999999,0.6139815687626788,0.31391303777768126,0.5598867975201113
Mr1,0.132050833333333,0.3268518207963723,0.29456052440619496,0.5427248250819396
Mrap,0.054386666666666805,0.2506024199285683,0.292045106858733,0.5404119788260924
Mras,0.18271499999999996,1.011778509503036,0.3320823643344884,0.5762658798978891
Mrc1,0.16947500000000115,0.14495945958193918,0.2903039265274094,0.5387985955135828
Mrc2,-0.2795124999999996,-0.6917887616268352,0.3242030779253996,0.5685842944847055
Mre11a,-0.4716750000000003,-0.8442402174900077,0.31912593902346303,0.5649123286169837
Mrfap1,-0.007621666666668858,-0.31963291343463185,0.293685257961927,0.5419273548751041
Mrgpra1,0.08781166666666573,0.39285162200095153,0.29585889119351316,0.5439291233180231
Mrgpra2a,0.012895000000000323,0.057048489345672006,0.2895639800780067,0.5381114940957931
Mrgpra2b,0.012895000000000323,0.057048489345672006,0.2895639800780067,0.5381114940957931
Mrgpra3,-0.08065000000000078,-0.3523272611714365,0.29460064544583764,0.5427712643884509
Mrgpra4,-0.02660499999999999,-0.2170369729005524,0.29139108497255717,0.5398065255001621
Mrgprf,-0.02262500000000056,-0.07280283206546233,0.2896492185038454,0.5381906897223747
Mrgprh,-0.10622666666666669,-0.388306633129613,0.2957109597111664,0.5437931221624327
Mri1,-0.061173333333333524,-0.22004840831225442,0.29144592890567894,0.5398573227304404
Mrm1,0.30683666666666554,0.9036862552701695,0.32345540998748995,0.5687314040805993
Mroh1,0.11221000000000014,0.27348933728468294,0.292544892055998,0.5408741924477428
Mrp63,0.07906166666666703,0.2926389983737756,0.3174718212329577,0.5632019998733393
Mrpl1,0.30382916666666765,0.8090260800902619,0.3196520087271221,0.5652566875989219
Mrpl10,-0.1791249999999991,-0.2560948884267702,0.29216106598391073,0.5405192558863289
Mrpl11,-0.15302999999999933,-1.0716112000526505,0.3372763148255758,0.5807549524761505
Mrpl12,0.11460333333333139,0.5567992375454305,0.3023460992777796,0.5498600724527829
Mrpl13,-0.07395948717948587,-0.4486040501519236,0.2980317890565269,0.5459171191937495
Mrpl14,0.014961666666668094,0.05672326794058833,0.2895624383692249,0.5381100615759056
Mrpl15,-0.011256249999999524,0.07100993032540873,0.2983086498831715,0.5460526872812044
Mrpl16,-0.1427383333333303,-1.0087125257068104,0.3318242479688896,0.5760418803948977
Mrpl17,-0.17121333333333116,-0.771291517481278,0.3303288263146181,0.5742838155353118
Mrpl18,0.09727666666666757,0.4248686418600586,0.2969497647738145,0.5449309724853365
Mrpl19,0.358153333333334,1.5014805959184265,0.38336354048562876,0.6191635813624933
Mrpl2,-0.227545000000001,-0.6970044075277068,0.30967067232702444,0.5564806127144273
Mrpl20,0.12465166666666505,0.750638625015745,0.31290580571254445,0.5593798402807741
Mrpl21,0.21760333333333115,1.266083986618477,0.3562187355378031,0.5968406282566587
Mrpl22,0.02984000000000009,0.14454865723789798,0.29029897108520075,0.5387939968904635
Mrpl23,-0.06919666666666657,-0.35703943887520617,0.29473992302699414,0.5428995515074535
Mrpl23-ps1,-0.06919666666666657,-0.35703943887520617,0.29473992302699414,0.5428995515074535
Mrpl24,0.02523833333333414,0.1687527931895649,0.2906149373727007,0.5390871333770643
Mrpl27,-0.14602333333333384,-0.5770467847833123,0.30330266598184563,0.5507292129366714
Mrpl28,0.08710499999999932,0.401034441583721,0.2961295672946627,0.5441778820336809
Mrpl3,0.09486499999999876,0.3200514222509054,0.2960829718762785,0.5440733402710325
Mrpl30,-0.019594999999997142,-0.154430629554381,0.29042207546167087,0.5389082254537139
Mrpl32,0.0455433333333346,0.42268347967719455,0.2968725964886483,0.5448601623248375
