MGI symbol,430AV2_NonAstro_Enrich,430AV2_NonAstro_Hedges_g,430AV2_NonAstro_Var_g,430AV2_NonAstro_SEg
Ephb2,-0.17800300000000036,-0.6610437761056751,0.8394168309913678,0.86503933993221
Ephb3,0.3767800000000001,0.6721617666704912,0.6189751800716995,0.7867497569568734
Ephb4,-0.030479999999998952,-0.06212225294005155,0.5629823967887935,0.7503215289386234
Ephb6,-0.22293999999999947,-0.7271223690860491,0.6285883674531636,0.7928356497113154
Ephx1,0.25491500000000045,0.6115051139956575,0.6092423130553553,0.7805397575110158
Ephx2,0.46975999999999907,0.7590842437027427,0.6345261111297206,0.7965714727064487
Epm2a,-0.3593850000000014,-1.078954900275364,0.7080179596035275,0.8414380307565896
Epm2aip1,0.28811999999999927,0.9203695423539869,0.6683850118116109,0.8175481709426123
Epn1,0.5909750000000003,3.769884596741938,2.3390037340940157,1.5293801797113808
Epn2,0.1009575000000007,0.3386751557528814,0.5901715431813995,0.7680152544074141
Epn3,0.04623499999999936,0.09045151641457733,0.563522684602712,0.7506814801250341
Epor,0.57111,6.493555080964907,5.833282198690646,2.4152188717982983
Eppin,0.13558000000000092,0.4444791134204368,0.5871952102833773,0.7662866371556908
Eprs,0.3845899999999993,3.890844297763573,2.656787952885276,1.5824591550189833
Eps15,-0.11808727272727282,0.6981968820755483,1.1063540863158905,1.0132917503466277
Eps15l1,-0.22934500000000035,-0.7086822481793833,0.6252788161105731,0.790745734171594
Eps8,-0.08708750000000043,-0.8252581680103274,0.7330002806853887,0.8502632443195611
Eps8l1,0.5907135714285714,0.9123495499741692,0.6795596035030034,0.8232456740135846
Eps8l3,0.07603000000000115,0.22972352837031415,0.5690966124358633,0.7543849232559352
Epsti1,-0.2288612499999998,-0.7385350204151009,0.6606635807168669,0.8116760050487383
Epx,-0.06782000000000021,-0.2768251403919027,0.5720790197941246,0.7563590548106928
Epyc,0.596655000000001,0.7311169446757508,0.6293164983490006,0.7932947109044662
Eqtn,-0.1208800000000001,-0.19702146121717917,0.5673521820225191,0.7532278420388608
Eral1,0.2496425000000002,0.44670071628443364,0.5924210732748314,0.7695527235701344
Erap1,-0.3377150000000002,-1.8006104802034812,0.9677747626773264,0.9837554384486656
Erbb2,0.29444499999999874,1.1122144463604144,0.7171276218366004,0.846833880897901
Erbb2ip,-0.10451000000000121,-0.39777068143851174,0.5822776893765073,0.7630712216933012
Erbb3,0.283995,0.318404036968581,0.614858643170516,0.7836067875601226
Erbb4,0.22432499999999944,0.27886661938008517,0.5722208239255596,0.75645279028209
Erc1,-0.10116666666666656,0.10832714264487281,0.6597454263246167,0.8111203748272463
Ercc1,0.08664000000000094,0.17737513453377735,0.5664327422938595,0.7526172614907657
Ercc2,-0.16947500000000115,-0.4940456242452935,0.5930101348544903,0.7700715128184461
Ercc3,0.737280000000001,4.110411268526994,2.6744350995542105,1.635370019155974
Ercc4,0.48610714285714324,0.8547394224301917,0.6950688512858461,0.8298590969121946
