MGI symbol,430AV2_CerCx_3h_Enrich,430AV2_CerCx_3h_Hedges_g,430AV2_CerCx_3h_Var_g,430AV2_CerCx_3h_SEg
Nanos1,-0.03237000000000023,-0.2129668763700622,0.33837885563265213,0.5817034086479571
Nanp,0.05239399999999961,0.32766794413845496,0.34147942519190716,0.5843624091194669
Nans,-0.09600599999999933,-0.6976190128077124,0.36058768707927413,0.600481270594287
Nap1l1,-0.1355939999999998,-0.7881171398354636,0.37003931749367924,0.6080815830552218
Nap1l2,-0.0387000000000004,-0.32613624615950243,0.34142935366406163,0.5843195646767799
Nap1l3,-0.002817999999999543,-0.02043166697727298,0.3361319837618846,0.5797689054803513
Nap1l4,-0.13762000000000008,-1.4096827905701572,0.43547138961259435,0.6599025606955881
Nap1l5,-0.03483999999999732,-0.20745470975487226,0.338262983941085,0.5816038032381537
Napa,-0.13843200000000078,-1.22780016659124,0.41949753462568556,0.6465701971159991
Napb,-0.10134399999999921,-0.6137915920275959,0.3754933174531825,0.6108734880693738
Napg,-0.20050879999999865,-1.0470047275387668,0.3933602623507859,0.6268930197693812
Napsa,-0.3699679999999992,-1.4486204532341265,0.4410361719875233,0.664105542807409
Narf,-0.11957066666666598,-0.9586066098100068,0.43662113185651674,0.6579366647786229
Narfl,-0.1207180000000001,-1.35572447049885,0.42801055310658037,0.6542251547491739
Narg2,0.024245999999999324,0.185535722783482,0.33929173359078124,0.5824811841388986
Nars,-0.15859999999999985,-1.0856743617794051,0.3955707305323414,0.628881921266135
Nasp,0.04840800000000023,0.1947467890804023,0.33800742670396744,0.5813840612744449
Nat1,-0.09483400000000053,-0.7063040451893273,0.3610543813236515,0.6008780086869975
Nat2,-0.057777999999999885,-0.7750335086776996,0.3661449580897744,0.6050991307957518
Nat3,0.05480199999999957,0.9433068914102688,0.3806025056802163,0.6169299033765637
Nat6,0.03501099999999924,-0.02944706267574393,0.40112458656578015,0.632903164771464
Nat8,-0.07536200000000015,-0.7371090676947399,0.36327759999500153,0.602725144651359
Nat9,-0.08591599999999833,-0.6805150972243648,0.3592661509886254,0.5993881471873008
Nav2,0.15285000000000082,2.5922321167163784,0.6720944784579048,0.8198136852101853
Nbea,-0.08558999999999983,-0.6363009213316217,0.35635505423548464,0.5969548175829429
Nbeal2,-0.010511999999998523,-0.04773872616332265,0.3362250604098959,0.5798491703968334
Nbl1,0.046925999999999135,0.37911043804326683,0.34329734732277895,0.5859158193143269
Nbn,-0.32373799999999875,-1.9085751291041229,0.5182440622828521,0.7198917017738516
Nbr1,-0.1328894117647069,-1.145351182020727,0.41037194144601574,0.6394773472972495
