MGI symbol,430AV2_HypoT_9h_Enrich,430AV2_HypoT_9h_Hedges_g,430AV2_HypoT_9h_Var_g,430AV2_HypoT_9h_SEg
Gm5121,-0.11782600000000087,-0.7288471741374053,0.36267202127351517,0.6022225678879156
Gm5128,0.055938000000000265,0.563359851767802,0.3519798272403031,0.593278878134308
Gm5138,-0.0608720000000007,-0.44674633726508683,0.35154347550418397,0.592780404706393
Gm5145,-0.0048320000000003915,-0.03203490641518487,0.33616242287256254,0.5797951559581733
Gm5167,-0.022712000000000288,-0.2311312358421262,0.3387821935202065,0.5820499922860635
Gm5168,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm5169,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm5196,-0.06273200000000045,-0.24374711076059544,0.339081743811318,0.5823072589375115
Gm5218,-0.2559320000000014,-1.110886470972909,0.3978145486806433,0.6307254146462178
Gm5382,0.014337999999999518,0.0723824935588355,0.33637307237980085,0.5799767860697537
Gm5384,-0.17799000000000298,-0.6104596075452113,0.3547441577333238,0.5956040276335645
Gm5406,-0.2557120000000008,-1.5712736171329296,0.4595561501060111,0.6779057088607612
Gm5422,-0.12809599999999755,-0.588371302745044,0.3534201506058061,0.594491505915607
Gm5424,-0.22906599999999955,-0.49362233776376785,0.3482942617280794,0.5901646056212448
Gm5428,-0.18183999999999934,-0.8413643648686189,0.3715058108346498,0.6095127651121425
Gm5436,-0.05380800000000008,-0.17977416454738837,0.33772704862304664,0.5811428814181988
Gm5446,0.011975999999999765,0.043243401247386105,0.33620461069868324,0.5798315364816605
Gm5451,-0.09094999999999942,-0.5460506398968804,0.35101967617770075,0.5924691352110257
Gm5453,-0.0470240000000004,-0.30339194506423134,0.340713444727604,0.583706642696144
Gm5454,0.2945840000000004,1.8761987672273683,0.5121172018183859,0.7156236453740094
Gm5455,0.027795000000000236,0.06777852815417226,0.34168481807036316,0.5845350507368221
Gm5456,-0.15399999999999814,-0.6078463700757865,0.35458497159182656,0.5954703784335763
Gm5457,0.09523800000000193,0.1767471111306698,0.33767308817576297,0.5810964534186756
Gm5458,0.0024300000000021527,0.01509368268918034,0.33612250207396716,0.5797607282957058
Gm5459,-0.21195599999999892,-1.0444309598793888,0.39065291260884016,0.6250223296881802
Gm5471,-0.20552999999999777,-0.8146362077983658,0.36929271866391616,0.6076945932488754
Gm5473,-0.03839999999999755,-0.20591809232814792,0.33823122414851425,0.5815764989651097
Gm5499,-0.14788600000000063,-1.188870885375261,0.41237878868795297,0.6414182526177179
Gm5506,-0.038600000000000634,-0.20013112183859563,0.33811373440752984,0.5814754804869504
Gm5510,-0.08306099999999983,-0.4183943622391995,0.3485085453340145,0.5902685699127684
Gm5514,-0.1346260000000008,-0.6604673286293586,0.35862672015350977,0.5988187150393596
Gm5518,-0.03839999999999755,-0.20591809232814792,0.3382312241485142,0.5815764989651097
Gm5526,-0.09383299999999917,-0.48125039920694557,0.35313174011439585,0.5940986794056462
Gm5529,0.03559599999999996,0.11434508332195877,0.3367648510151064,0.5803144415014212
Gm5530,0.033516000000000545,0.206808998029964,0.33824960919441893,0.581592304964929
Gm5537,0.01871799999999979,0.10099789410706565,0.3366211398418142,0.5801906064749879
Gm5540,0.21311200000000152,1.8655761446510186,0.510129828685659,0.7142337353315503
Gm5555,-0.11004999999999932,-0.4945654362021063,0.34834085964540007,0.5902040830470423
Gm5558,-0.1487340000000028,-1.7210031136636037,0.48420369697310206,0.6958474667433244
Gm5559,-0.056654000000000745,-0.40061167062703124,0.3494481423841386,0.5910132505945078
Gm5560,0.03559599999999996,0.11434508332195878,0.3367648510151064,0.5803144415014213
Gm5561,-0.2469550000000007,-0.8831553590782999,0.3777023534907849,0.6143569206036197
Gm5564,-0.05512400000000017,-0.3014631186994596,0.34079321547792973,0.5837733927197087
Gm5566,-0.19496200000000208,-0.7409003755128352,0.3635577794328641,0.6029575270554834
Gm5578,0.209824000000002,0.7854340817455059,0.36695644594948135,0.605769300930215
Gm5580,-0.13100399999999723,-1.1857489220113009,0.4064111364136592,0.6375038324697815
Gm5582,0.028430000000000177,0.23860921331322996,0.33895782894500903,0.5822008493166332
Gm5593,0.20324200000000037,0.7570158024319775,0.36476475736769765,0.6039575791127202
Gm5594,-0.06605400000000028,-0.6296861143946981,0.35593634124418577,0.5966040070634673
