MGI symbol,430AV2_ForeOlig_Enrich,430AV2_ForeOlig_Hedges_g,430AV2_ForeOlig_Var_g,430AV2_ForeOlig_SEg
Sla,-0.07786999999999952,-0.109166022343781,0.29109141308657843,0.5395257066838599
Sla2,0.30611666666666615,1.6805832937110872,0.40711004995151434,0.6380517611851835
Slain1,0.051224999999998744,0.2485287260075448,0.29684702789942397,0.544798142747926
Slain2,0.02754666666666772,-0.10998550934875148,0.295867144105755,0.5439274156111551
Slamf1,-0.06039933333333285,-0.25558903424077817,0.2977477148357722,0.5456520571224859
Slamf6,-0.07955249999999991,-0.5020636598834977,0.32159651026683594,0.5664692333054828
Slamf7,0.12806833333333323,0.47875076945692435,0.29897847045796394,0.5467892376939801
Slamf8,0.12992999999999988,0.5238469103408215,0.3008623573837151,0.5485092135814266
Slamf9,-0.2025116666666671,-0.6548859717232703,0.3072981928206446,0.5543448320500919
Slbp,-0.22874166666666795,-0.6966970009113028,0.30965282095059754,0.5564645729519513
Slc10a1,-0.02825333333333302,-0.14712904401525367,0.2929922446013987,0.5412800105810289
Slc10a2,0.0826416666666665,0.3218750907797393,0.2937451902416668,0.5419826475466413
Slc10a3,-0.3914983333333337,-0.4574287790326525,0.29814675331761836,0.5460281616525089
Slc10a6,-0.11651999999999996,-0.4470143286126737,0.297754283405024,0.5456686571583749
Slc11a1,-0.08951666666666735,-0.2946719417640769,0.29304635604160617,0.5413375620087767
Slc11a2,-0.05901435897435889,-0.09377441314695074,0.29379078235055095,0.5420096691247367
Slc12a1,0.041155000000000275,0.2582453222096109,0.2922071515907785,0.5405618850703205
Slc12a2,-0.03260166666666642,-0.2878572284645139,0.294950853764139,0.5430598629210984
