MGI symbol,430AV2_ZT12_AK_Enrich,430AV2_ZT12_AK_Hedges_g,430AV2_ZT12_AK_Var_g,430AV2_ZT12_AK_SEg
Arhgef1,-0.2102133333333347,-1.0039946993954532,0.5656671130345138,0.7521084449961413
Arhgef10,0.1428600000000002,1.0925654541914223,0.5881637263768011,0.7661420765999918
Arhgef10l,-0.15207999999999888,-1.4234487779661593,0.6505172019577793,0.8065464660872176
Arhgef12,-0.028061666666667318,-0.25064997713244835,0.4870179886677452,0.6978658488912037
Arhgef16,-0.03768666666666576,-0.2647724931078705,0.487508706092213,0.6982182367227405
Arhgef18,0.24069999999999858,2.5779946237478737,1.0355046900060783,1.017597508844277
Arhgef2,0.0022183333333343214,0.0260418950317779,0.481784111845584,0.6941066954714196
Arhgef25,-0.0926000000000009,-0.5249490076366604,0.5046309550515595,0.7103738136020777
Arhgef28,0.034990000000000965,0.45832969592986944,0.5322299225334091,0.7287937937861059
Arhgef3,0.018369999999999997,0.19836918002766687,0.484945860965404,0.6963805432128356
Arhgef40,-0.06288455882352854,-1.9255987127659873,1.1575557787046933,1.0433487619691968
Arhgef5,0.014020000000000366,0.12405269040907013,0.48294908916647733,0.6949453857437125
Arhgef7,-0.026034166666667025,0.09741996595162905,0.730801322074984,0.8381419030057666
Arid1a,0.05110629629629512,0.04743867521381587,0.5090886490153772,0.7135036364049934
Arid2,0.08464666666666787,2.4999379893413303,1.0024741625459976,1.0012363170330956
Arid3a,-0.01374666666666613,-0.16954919232396856,0.48406224405147574,0.6957458185655705
Arid3b,0.13181333333333356,0.7777805963636972,0.5320785546733223,0.7294371492276235
Arid4b,0.15575302222222195,0.5915897403841218,0.5439901419383787,0.7361436699261857
Arid5a,0.060940000000001326,0.334414799534385,0.49098610484563515,0.7007040065859728
Arid5b,-0.0732466666666669,-0.3755956951020764,0.49951360247193927,0.706661313428905
Arih1,0.27589771929824575,2.3069953260746643,0.926952035971467,0.962331882947427
Arih2,0.0077322222222224,0.06120001448173229,0.5931161726953651,0.7680723228647532
Arl1,-0.040493333333333936,-0.6234399161508548,0.5140564440875153,0.7169772967727188
Arl10,0.08339666666666723,0.6113985711793092,0.5128173510700084,0.71611266646388
Arl14ep,-0.028589523809524207,-0.6454553034803433,0.6000650085591676,0.7727126413097584
Arl16,-0.1377600000000001,-1.2657117428712306,0.6151688513368441,0.78432700535991
Arl2,-0.04856000000000016,-0.43556479765246475,0.4974763910795026,0.7053200628647271
Arl2bp,-0.003358333333332908,-0.16470418166225081,0.5081675897922235,0.7127830890756234
Arl3,-0.021906666666668073,-0.7860452802502053,0.5331555985503019,0.7301750465130276
Arl4a,0.08701933333333275,1.1993414072366453,0.6398583442444503,0.796214956326055
Arl4c,-0.009080000000000865,-0.05688072828787108,0.4819362847708798,0.6942163097845511
Arl4d,0.4751666666666665,1.9639641139577961,0.8030962534095024,0.8961563777653443
Arl5a,0.16235200000000063,1.5693981484644945,0.7561789631976649,0.8564929456262231
Arl6,-0.004249999999998977,-0.034758263161335255,0.4817673447381659,0.6940946223233299
Arl6ip1,0.006811666666665772,0.10676857453685702,0.48263733656310587,0.6947210201237798
Arl6ip5,-0.019536666666665425,-0.1607350832087243,0.48381964724784293,0.6955714537327153
Arl6ip6,0.08473666666666695,2.2124651713024925,1.7232197231190898,1.266487166925266
Arl8a,-0.18313333333333226,-1.1607368534461024,0.5939425035789965,0.7706766530646926
Arl8b,0.08554333333333286,1.008013489447351,0.5854074321082302,0.7633062999292558
Armc10,-0.04115999999999875,-0.3726356837090569,0.49323811273110957,0.7023091290387087
Armc12,0.09691666666666698,0.5501231311955194,0.5068862882896968,0.7119594709600378
Armc6,0.09701999999999966,1.28870348380316,0.6200630557638667,0.7874408268332718
Armc7,-0.033629999999999605,-0.29202138021354546,0.48877304054181864,0.6991230510731417
Armcx1,-0.11263333333333314,-0.7732438608984876,0.5314921723680999,0.7290350968013132
Armcx2,0.013956666666668838,0.15149329468149808,0.4835791848611212,0.6953985798526778
Armcx3,0.10280333333333383,2.4500752485012476,0.9880175073813621,0.9924090931551832
Armcx4,0.02302333333333273,0.21498999055003146,0.4855183913363918,0.6967914977497873
Arnt,0.19398999999999944,1.4491457410396242,0.6566686148977735,0.8103509208347787
