MGI symbol,430AV2_WB_AK_Enrich,430AV2_WB_AK_Hedges_g,430AV2_WB_AK_Var_g,430AV2_WB_AK_SEg
Oas1b,-0.12120999999999871,-0.592582377575065,0.5109294895177097,0.7147933194411582
Oas1c,0.14296333333333378,0.9151715871226058,0.5514615861563756,0.742604596105071
Oas1e,0.06932000000000027,0.3115886009480173,0.4897572880200618,0.6998266128263927
Oas1g,-0.02425666666666615,-0.25349690806002856,0.4870217235329995,0.6978694172501038
Oas1h,0.15221666666666778,0.44136415165267173,0.4979001928636735,0.7056204311552164
Oas2,0.20954666666666633,0.47455514666897175,0.500433548935834,0.7074132801522982
Oas3,-0.0349466666666669,-0.13741552633752396,0.4832402522398848,0.6951548404779218
Oasl1,0.10483333333333356,0.6515163694774577,0.5170394649747572,0.7190545632806714
Oasl2,-0.10204999999999975,-0.5689135631021881,0.5086385535234689,0.7131890026658213
Oat,0.026206666666666933,0.4469971386338317,0.49831720349556935,0.7059158614846173
Oaz1,-0.00024166666666758374,0.2998066708589261,0.5286785365682196,0.7267172763452308
Oaz1-ps,-0.00024166666666758374,0.29980667085892615,0.5286785365682201,0.7267172763452309
Oaz2,-0.12507460317460328,-0.7074630803162868,0.5277382661151316,0.7262251609068573
Oaz2-ps,-0.12230000000000008,-0.6965548699628034,0.5264719049410819,0.7253522324747427
Obox3,0.125796666666667,0.7323148600831563,0.5263570878582177,0.7255047124989732
Obp1a,-0.04458666666666655,-0.2397420035753077,0.4864563523565252,0.6974642301627555
Obp1b,0.025266666666666993,0.19348804304056894,0.48478646856663904,0.6962660903466713
Obp2a,0.19207000000000063,1.1050353007372624,0.5834252513229576,0.7638227879049941
Obsl1,0.26822000000000035,1.7909221805789328,0.7489501880741332,0.865419082337646
Oc90,0.11718333333333408,0.22762819910328708,0.4859845497522504,0.6971259210158882
Oca2,0.13490000000000046,1.1243320325803132,0.5870102099571815,0.7661659154237949
Ocel1,0.09699666666666662,0.44551680677489053,0.4982071020932412,0.7058378723851825
Ociad1,0.03340666666666555,0.1475056494902028,0.49660986087531106,0.7045776596231121
Ocln,0.0785499999999999,0.320802568511064,0.4902428573302746,0.7001734480328962
Ocstamp,0.38659999999999917,1.0121499920467465,0.5670373005333523,0.7530187916203369
Odc1,0.04549500000000073,0.19969720783283487,0.4849899147728101,0.6964121730494139
Odf1,0.132950000000001,0.328149637830753,0.4906401820673711,0.7004571236466733
Odf2,-0.26997811594202936,-3.5485158211999277,2.1868297149719496,1.340454546597718
Odf2l,-0.12336999999999954,-1.8359475738735413,0.762558624501012,0.873246027475082
Odf3,0.02905333333333271,0.10209475138403157,0.48253527818834724,0.6946475928039679
Odf4,-0.07955999999999941,-0.31638246362867783,0.4900081552743125,0.7000058251717
Ofd1,-0.2962699999999998,-2.731455043100201,1.10340388770646,1.0504303345326904
Ogdh,-0.087293333333335,-1.6310073608253297,0.7033487509222005,0.8386589002223733
Ogfod2,0.16459666666666628,1.800412060595985,0.7517902989949566,0.8670584172908747
Ogfod3,-0.11448333333333327,-0.4221295743397118,0.49651611479435215,0.7046389960783835
Ogfr,-0.016610000000000368,-0.08180397806448891,0.4843168720329998,0.6959281506255031
Ogfrl1,-0.046486666666667155,-0.46088182464595856,0.518353676854494,0.7193631741698991
Ogg1,0.015762592592592287,0.1559723858019724,0.4878185122103933,0.6984313771505023
Ogn,-0.04532500000000006,-0.13780230899876642,0.48486393624576346,0.6963179344974673
Ogt,-0.176401212121212,-1.3253741449004188,0.6613765519673802,0.8096431633230401
Oit1,0.25657333333333376,0.762260073335647,0.5300867016168055,0.7280705334078598
Oit3,0.15772333333333322,1.0408693180697157,0.5719507447749096,0.7562742523548647
Ola1,-0.009660833333333096,-0.03100232068206581,0.49419818490768436,0.7029896854829707
