MGI symbol,430AV2_Astro_Enrich,430AV2_Astro_Hedges_g,430AV2_Astro_Var_g,430AV2_Astro_SEg
Cast,0.012092946428571505,-0.013425324092395705,0.2401557943176334,0.49005692398060624
Cat,-0.18675330357142883,-0.19099458417130358,0.24114421014810483,0.4910643575857743
Catsper1,0.11958464285714232,0.7118369546386438,0.2568172809325852,0.5067714286861338
Catsper2,0.06968464285714315,0.1529519792121306,0.24070669619777482,0.49061868716731005
Catsperg1,0.12158714285714378,0.4246506653095044,0.24593782551787144,0.4959211888172064
Catsperg2,0.12158714285714378,0.4246506653095044,0.24593782551787138,0.4959211888172065
Cav1,0.14234732142857176,0.22741955916590056,0.24165087446265165,0.49157997768689854
Cav2,-0.0575685714285723,0.08555524898916775,0.2495660313026587,0.49955664916357706
Cav3,0.10513535714285815,0.4821098621256534,0.24767454990490514,0.4976691168888272
Cbfa2t2,-0.024410178571427465,-0.0356495754472187,0.2399692490072635,0.4898665624506979
Cbfa2t3,0.4898287500000009,0.9854033846825861,0.27263483386251897,0.5221057261484859
Cbfb,-0.12970607142857027,-0.2766122482041746,0.24247736379483018,0.4924199059693162
Cbl,-0.1061279464285736,-0.15523459866891856,0.24138051483438513,0.4913027076388999
Cblc,0.03320245879120787,0.15381504104631763,0.2425901008012519,0.49252955947263527
Cbll1,0.15793660714285768,0.5517712604422411,0.2545597619438278,0.5043863878493282
Cbln1,-0.3461216964285714,-0.45291091527550176,0.2481679670807134,0.4981257794243212
Cbln3,-0.07294767857142892,-0.3265420160234516,0.24348120887389993,0.4934381510117554
Cbr1,0.04297446428571483,0.12317258115799337,0.24043260209124867,0.49033927243414704
Cbr2,0.01957214285714315,0.05277503144944792,0.24001972606442762,0.4899180809731639
Cbr3,-0.2788287500000006,-0.20715973606047008,0.2413573911410994,0.49128137674971906
Cbr4,-0.04391107142857109,-0.12322481857074703,0.24043303113000436,0.49033970992568443
Cbs,-0.01736214285714155,-0.007562310319765813,0.2399287922175237,0.4898252670264405
Cbwd1,0.17810678571428618,0.41515462739460846,0.2456719980878498,0.495653102570588
Cbx1,-0.1852835978835974,-0.3685134099790313,0.24912064963128724,0.49905205415314075
Cbx2,0.0920454642857134,0.14953793022992196,0.25189372894325485,0.5018887237192521
Cbx3,-0.11655541071428646,-0.8961370113614524,0.26975458578807165,0.5190786493688314
Cbx4,0.07214874999999843,0.3785313378927276,0.2447030850585065,0.49467472652087907
Cbx5,0.00107686813186823,0.0009641955618122175,0.24034967716442335,0.4902542582533271
Cbx8,0.24266720238095255,0.5297731311671746,0.2682987786586926,0.516590621049411
Cby1,0.0504339285714277,0.07041600129520988,0.24009216637422484,0.48999200643911
Cc2d1a,0.07673321428571533,0.2325182018943003,0.24172904307334986,0.4916594787791138
Ccbl2,-0.17424607142857163,-0.15871973812890341,0.24076661777533484,0.49067975072885867
Ccbp2,-0.037404375000000156,-0.12224308111155031,0.24088595252317377,0.49080036607789457
Ccdc101,0.13981397321428685,0.26002661345617445,0.2424884499298141,0.4924284680294962
Ccdc102a,-0.110422767857143,-0.08636879460965129,0.24032247468563528,0.49022680736176866
Ccdc104,0.0232092857142856,0.0680557236197756,0.24008127198352494,0.4899808894064389
Ccdc106,0.12464946428571366,0.3210109078364457,0.24336181936461054,0.4933171590007898
