MGI symbol,430AV2_Hipp_Enrich,430AV2_Hipp_Hedges_g,430AV2_Hipp_Var_g,430AV2_Hipp_SEg
Rpap1,0.027443124999999124,0.24063800647383515,0.22534876720148844,0.4746362645916616
Rpap2,-0.011221250000000182,-0.09250571198111596,0.214746178765191,0.4634071414697782
Rpap3,-0.2127963888888882,-1.5761315380490781,0.2875589234264798,0.5362452083016498
Rpe,0.13745324074074006,0.9165362960838498,0.24467745527370635,0.4942336374123588
Rpe65,0.05532666666666586,0.3211559419778766,0.21752805618632523,0.4663990310735275
Rpf1,0.08176625000000115,0.832110013049108,0.23485940720835138,0.48462295365402513
Rpf2,-0.09017777777777702,-0.7493103851692549,0.23100820072323106,0.48063312487096765
Rpgr,-0.2360055555555558,-1.8803820244944354,0.31848968615615153,0.5643489046291766
Rpgrip1,0.002941689435337008,0.025514436444047932,0.22344165540434263,0.4726315340501735
Rph3a,-0.08801472222222184,-0.4104128894064705,0.21944857385465671,0.46845338493243566
Rpia,-0.007173749999999757,-0.07453321479883528,0.21465788151104737,0.46331186204439806
Rpl10,0.04165749999999946,0.6231112783095086,0.22591413048305503,0.47530425043655466
Rpl10-ps1,0.04165749999999946,0.6231112783095086,0.225914130483055,0.4753042504365546
Rpl10-ps2,0.04165749999999946,0.6231112783095086,0.225914130483055,0.4753042504365546
Rpl10-ps3,0.04165749999999946,0.6231112783095086,0.225914130483055,0.4753042504365546
Rpl10-ps6,0.04165749999999946,0.6231112783095086,0.225914130483055,0.4753042504365546
Rpl10a,-0.022657916666666722,-0.2832379067393019,0.21685401420827716,0.4656758681833074
Rpl10a-ps1,-0.022657916666666722,-0.2832379067393019,0.21685401420827713,0.4656758681833074
Rpl11,-0.003136821895423773,-0.014340168291118989,0.21668102835397865,0.4654897171076063
Rpl12,-0.031960375000000596,-0.27428941851972705,0.2167619749436151,0.4655764158338095
Rpl13,-0.019880767543860145,-0.3467768299971394,0.22245346273752814,0.4715662745473363
Rpl13-ps3,-0.02112381944444497,-0.36721309895331733,0.22289490189367164,0.4720338672210808
Rpl13a,0.017001514336918364,0.11475058375064454,0.21845254518245774,0.46738857965967423
Rpl14,-0.019736180555554927,-0.11151126799261617,0.21498466612644593,0.46366416124526727
Rpl14-ps1,-0.006886944444444154,-0.046464253130439975,0.21455799112018617,0.4632040491189452
Rpl15,-0.05905357638888864,-0.7477186430144692,0.23186975697004647,0.481441683806908
Rpl15-ps3,-0.04459708333333268,-0.6449635999868534,0.22672914166398125,0.4761608359199455
Rpl17,0.015459861111112971,0.1041588078736292,0.21481358319191224,0.463479862768505
Rpl18,0.002375658602150302,0.019341267404080237,0.21796245375858658,0.46685540282998184
Rpl18-ps2,-0.004310138888889092,-0.05468520106533922,0.21692777964146503,0.46575404314367375
Rpl19,0.01590180555555598,0.15364464952891607,0.21518880734106544,0.4638844762880791
Rpl19-ps1,0.01590180555555598,0.15364464952891607,0.21518880734106544,0.4638844762880791
Rpl19-ps11,0.01590180555555598,0.15364464952891607,0.21518880734106544,0.4638844762880791
