MGI symbol,430AV2_ZT12_D2_Enrich,430AV2_ZT12_D2_Hedges_g,430AV2_ZT12_D2_Var_g,430AV2_ZT12_D2_SEg
Enkd1,0.13521666666666743,0.6945126835162235,0.5218623222970754,0.722400389186686
Eno1,0.07395000000000174,0.8343688361947952,0.5396809462344213,0.7346298021686989
Eno2,0.07364333333333306,1.1464864096357046,0.5912025906232808,0.7688969961075935
Eno3,-0.1759633333333337,-0.5486130379429037,0.5067480221167451,0.7118623617784164
Enoph1,0.014326666666665488,0.37790619804027326,0.49356775787643775,0.7025437764840264
Enox2,-0.0018933333333324143,-0.008921142906809098,0.4816732988992303,0.6940268718855417
Enpep,-0.08242999999999956,-0.6057220192749208,0.5122415970528739,0.7157105539621963
Enpp1,-0.10002666666666649,-1.9642737661040957,0.8031976190170635,0.8962129317394744
Enpp2,0.005604871794872952,0.07225491168983743,0.4822336513641399,0.6944303724904463
Enpp3,-0.010703333333332843,-0.10765232792392906,0.4826324186422867,0.6947175099580308
Enpp4,0.25784333333333276,0.7702305616641631,0.5311045931767909,0.7287692317714785
Enpp5,-0.10785333333333291,-1.396058819187801,0.6440816855526698,0.802546998968079
Ensa,0.024606666666666756,6.0590553988622915,11.232883778251813,2.5956468741160856
Enthd2,0.20663000000000054,1.474999100648719,0.662968528909544,0.8142287939575362
Entpd1,0.20410999999999913,1.3925357980743243,0.6583597647931582,0.8090940143575596
Entpd2,0.03988333333333216,0.28397598053525197,0.4883868631267464,0.6988468094845582
Entpd4,0.04480999999999824,0.7858155282373449,0.5331255037015781,0.7301544382537013
Entpd5,0.08978727272727317,0.6314958356086584,0.5276708765366025,0.7261876552920165
Entpd6,0.06859000000000037,1.1870701429133166,0.5990946270163534,0.7740120328627672
Entpd7,-0.008696410256410249,-0.2661632389565547,0.5276564408091557,0.7256073772727182
Eny2,-0.24836333333333313,-2.535461614166486,1.1932185666539086,1.0475594002930997
Eogt,0.051919999999999966,0.15128392652356143,0.48357390220203217,0.695394781546448
Eomes,0.4421786666666668,3.757397199027383,1.6594687823262642,1.287847342498224
Ep400,0.09704333333333359,1.1485361999392967,0.5915946168809166,0.7691518815428567
Epas1,0.31895000000000007,1.3994940032627488,0.6448819554306995,0.8030454255088559
Epb4.1,0.007633333333333603,0.06225265182030661,0.4819896160548884,0.6942547198650425
Epb4.1l1,0.15263084507042338,1.9181906083318965,0.8108848352339602,0.8961826191176504
