MGI symbol,430AV2_WB_D2_Enrich,430AV2_WB_D2_Hedges_g,430AV2_WB_D2_Var_g,430AV2_WB_D2_SEg
1700074P13Rik,-0.004383333333334072,-0.03605601271523017,0.48177500300441006,0.6941001390321212
1700080E11Rik,0.019146666666666423,0.0886353742152978,0.48232135246352376,0.6944935942566525
1700082M22Rik,-0.20927333333333387,-2.9569061120951208,1.2102744796454568,1.1001247564005896
1700088E04Rik,-0.06219000000000108,-0.29635629500201877,0.4889855877989436,0.699275044456002
1700093K21Rik,0.01900999999999975,0.10087960287214662,0.48251472452297006,0.6946327983351852
1700094D03Rik,0.3123933333333335,3.70735233639849,1.6270384455166118,1.275554171925525
1700102P08Rik,0.30252000000000034,0.9272203995430184,0.5533114724440594,0.7438490925208281
1700120B22Rik,0.029963333333333342,0.2831539720115244,0.4883480143221585,0.698819013995869
1700123K08Rik,-0.006863333333333443,-0.04543654307282771,0.48183870662053396,0.694146026870812
1700123O20Rik,0.044156666666666844,0.2609618292145764,0.4873417563589181,0.6980986723658182
1700129C05Rik,0.036766666666666836,0.18246073011997876,0.4844409931696596,0.6960179546316745
1810009A15Rik,-0.03948333333333487,-0.4072438176373562,0.4954872939169873,0.7039085834943252
1810009J06Rik,-0.039280000000000204,-0.25772564272293114,0.48720187557641226,0.6979984782049401
1810011O10Rik,0.17948000000000075,1.154059751882801,0.592654492576316,0.7698405630884333
1810019J16Rik,0.17243833333333347,0.626030451864155,0.5190059281223939,0.7202161327945467
1810021B22Rik,-0.02379333333333289,-0.1080544493098042,0.4826396470013036,0.6947227123113968
1810026J23Rik,-0.10421833333333463,-0.8379687066246095,0.5892684447834984,0.764429910649995
1810030O07Rik,0.024469999999999992,0.28500061258245024,0.5200504373283618,0.7208596413258388
1810032O08Rik,0.06954999999999956,0.28286698246609254,0.48833447748078934,0.6988093284156912
1810037I17Rik,0.026706666666665768,0.2085341088190549,0.4852905395450797,0.6966279778655747
1810043G02Rik,0.09189000000000025,0.48653015189166926,0.5013926323916441,0.7080908362573578
1810055G02Rik,-0.09256333333333266,-0.7326197364833278,0.5263943065237416,0.725530362234236
1810058I24Rik,-0.017123333333333157,-0.1360433556078662,0.4832089828837539,0.6951323491852137
1810065E05Rik,0.1857266666666666,0.8578363279422656,0.5429902637947891,0.7368787307249335
2010001M06Rik,0.021773333333332978,0.11817150882165127,0.48283037545809876,0.6948599682368375
2010003K11Rik,0.08474333333333339,0.45811528934293044,0.4991558015274797,0.706509590541756
2010003O02Rik,0.06993166666666673,-0.044789417038924334,0.5038710184275769,0.7098335768522732
2010012O05Rik,-0.22866333333333344,-1.372299573319615,0.6386005099110997,0.7991248400038005
2010106E10Rik,0.11307666666666627,1.0877516848101172,0.5802669773172706,0.761752569616454
2010107E04Rik,-0.07830000000000048,-1.1161201143131527,0.5854770091312003,0.7651646941222525
2010107G23Rik,-0.09135000000000115,-0.665219861216274,0.5185431219797164,0.7200993834046219
2010109I03Rik,0.130726666666666,0.4634689195369446,0.4995669532813951,0.7068005045848476
2010111I01Rik,-0.057139999999999525,-0.49869129888491137,0.502769788111721,0.7090516040950828
2010204K13Rik,0.13651666666666618,0.7529163739167056,0.52890692217599,0.727259872518751
2210010C04Rik,-0.07675777777777792,-0.4691227030400835,0.5420829186062597,0.7346379647267154
2210016F16Rik,-0.16990999999999934,-1.080384234483128,0.5852948557440416,0.7643534173999033
2210016L21Rik,-0.09720666666666666,-0.6769396869343007,0.5198539449788924,0.7210089770445943
2210018M11Rik,0.3406366666666658,2.692467968824319,1.0857819802620796,1.0420086277291947
2210407C18Rik,0.23155666666666663,0.5715997517856063,0.5088938563534472,0.7133679670082245
2210409E12Rik,0.0457800000000006,0.125661488564108,0.48298256747567886,0.6949694723336263
2210418O10Rik,-0.12853999999999965,-0.3343646589927662,0.4909833104319456,0.7007020125787747
2310002J15Rik,0.11660000000000093,0.6126775207512555,0.5129478120361587,0.7162037503644886
2310008H04Rik,-0.07527999999999979,-2.4173468832974407,0.9686304961823208,0.9841902743790556
2310011J03Rik,0.0935733333333344,1.4350759363845922,0.6532869119325094,0.8082616605608046
2310014L17Rik,-0.058789999999999676,-0.3780501080354372,0.49357682368213374,0.702550228583077
2310022A10Rik,-0.0379066666666672,-0.27586472674371154,0.48800844562178175,0.6985760127729708
2310030G06Rik,-0.11542333333333321,-0.40095469367215264,0.4950637221981441,0.7036076479104986
2310033P09Rik,-0.07073666666666689,-0.576436847617232,0.5093566199409076,0.7136922445570694
2310034C09Rik,0.04734666666666687,0.4652589757630434,0.4997054928773396,0.706898502528715
2310036O22Rik,0.023889999999999745,0.8488839990361607,0.5417170036516353,0.736014268646767
2310039H08Rik,-0.05443333333333289,-0.2966303154075395,0.4889991286682313,0.699284726465716
2310042E22Rik,-0.09001333333333417,-1.383836247445352,0.641250229978636,0.8007810124988204
2310044G17Rik,0.03431833333333323,0.1634275770397666,0.4838996040125249,0.69562890307287
2310045N01Rik,0.1170766666666676,0.5381837753040021,0.5058034813333723,0.7111986229833213
2310050C09Rik,-0.00934999999999997,-0.03624585934628596,0.4817761468599791,0.6941009630161733
2310057N15Rik,0.008346666666666724,0.10129010169076409,0.48252164039171036,0.6946377763926394
2310061I04Rik,-0.08970407407407323,-0.7302442927956044,0.5269700431582114,0.7258781847089725
2310067B10Rik,-0.09310333333333265,-0.7173160255834723,0.5245451900465723,0.7242549206229615
2410002F23Rik,-0.3497966666666663,-1.9578078553136107,0.8010842998606399,0.8950331278006641
2410004B18Rik,0.03791999999999973,0.2353699395522035,0.4862832507037339,0.6973401255511789
2410015M20Rik,-0.060413333333332986,-0.4757124048368956,0.5005251910096418,0.7074780498429911
2410016O06Rik,-0.06521333333333246,-0.30054479508911097,0.48919393115459625,0.6994239995557746
2410018L13Rik,-0.25356666666666694,-1.1387401459522979,0.589727426666955,0.7679371241624896
2410066E13Rik,0.18727333333333362,0.5052726056298616,0.5029417004999991,0.7091838270152522
2410133F24Rik,0.07792999999999983,0.8392461541439962,0.5403611756037906,0.7350926306281342
2510002D24Rik,-0.4790000000000001,-1.4837705762359166,0.6651312602419552,0.8155557983620466
2510009E07Rik,-0.05502333333333187,-0.5213314443522296,0.5043155395725317,0.7101517722096676
2510039O18Rik,-0.02830666666666648,-0.04878714933893615,0.48186501549505156,0.69416497714524
2610001J05Rik,-0.14885666666666708,-0.8070542199583963,0.5359447094960545,0.7320824471984385
2610002J02Rik,-0.050958245614035065,-0.13083714049351314,0.49773573385528785,0.7054632924326913
2610002M06Rik,-0.19503333333333206,-0.5808618420407285,0.5097833732949123,0.7139911577147944
2610005L07Rik,0.06701500000000049,-0.22178345533748783,0.5290425073237921,0.7271224023040139
2610015P09Rik,0.09068000000000076,0.7569046100951977,0.5294087157319468,0.7276047798990513
2610018G03Rik,-0.23069000000000006,-0.3552218708724235,0.5705748046561031,0.7544046740032947
2610019E17Rik,-0.03217333333333272,-0.6306404980749345,0.5148089531510167,0.7175018837264587
2610019F03Rik,0.03646333333333196,0.16208688828980977,0.4838560132796227,0.6955975943601463
2610034M16Rik,0.04362333333333401,0.24302879228583388,0.48658858282332584,0.6975590174482198
2610042L04Rik,-0.20070333333333368,-1.0316889697609886,0.5703888621007339,0.7552384914710188
2610301B20Rik,-0.16018333333333334,-0.36979048057526526,0.4930620832936737,0.7021837959492329
2610301G19Rik,-0.08721333333333448,-0.6919166870262047,0.5215623918154432,0.7221927663826626
2610507B11Rik,0.14799166666666652,0.13331943774218782,0.5185007682501048,0.7199998318048887
2610524H06Rik,-0.3289033333333311,-1.1707809782694631,0.5958940082564667,0.7719417129916395
2610528A11Rik,0.1456299999999997,0.7363669831062077,0.5268530278174114,0.7258464216467636
2610528J11Rik,0.03709000000000007,0.12207796447411368,0.4829085857841785,0.6949162437187509
2700029M09Rik,0.06218666666666728,0.31910311204231523,0.49015223300959077,0.7001087294196457
2700050L05Rik,-0.022783333333332934,-0.06744839843321399,0.4820457738709337,0.6942951633642089
2700054A10Rik,0.01153600000000008,0.15804183589229984,0.49086971930352197,0.70061258666972
2700060E02Rik,-0.06140000000000079,-0.4588600653014902,0.49921271329404054,0.7065498661057411
2700062C07Rik,-0.020199999999999108,-0.2841688738575123,0.4883959957391205,0.6988533435128722
2700089E24Rik,-0.015330000000000066,-0.1481222910846077,0.48746847709357954,0.6981787545886226
2700094K13Rik,-0.11769999999999925,-0.6290247742859361,0.5146393472221226,0.7173836820155045
2700097O09Rik,0.07792666666666825,0.42772784143910536,0.49691259219517964,0.7049202736446013
2810002D19Rik,-0.11315333333333344,-1.962098065056465,0.802485734741527,0.8958156812322091
2810004N23Rik,0.10294333333333405,0.2660081124521038,0.4875633596575275,0.6982573735074535
2810025M15Rik,0.1364200000000002,0.7740168270690242,0.5315918373821666,0.7291034476548349
2810403A07Rik,0.052059999999999995,0.16727052943845083,0.4839982858348849,0.6956998532663959
