MGI symbol,430AV2_ZT6_B6_Enrich,430AV2_ZT6_B6_Hedges_g,430AV2_ZT6_B6_Var_g,430AV2_ZT6_B6_SEg
Fam134c,0.0041827450980389275,-0.014192461551771464,0.5556262361571239,0.7454028874579235
Fam136a,-0.04578166666666661,-0.25554279360453996,0.5566604202696546,0.746096790148339
Fam13c,0.18768500000000188,1.2847425980281957,0.7151865626521571,0.8456870358780233
Fam149b,-0.12606666666666655,-1.0806357470020707,0.6669075701032057,0.8166440902273191
Fam151a,-0.375795000000001,-9.453992104592212,9.487926879702522,3.0802478601084236
Fam160a2,0.11546611111111105,0.41860234222509257,0.567653488008176,0.7534278153953592
Fam160b1,-0.09242583333333343,-0.6626382688629785,0.6485401497847817,0.8030124296247744
Fam161a,-0.10559999999999992,-0.38130412686959797,0.5646694920501121,0.751444936139776
Fam162a,0.05922499999999964,0.6721663754838452,0.5953109719664423,0.7715639778828729
Fam166a,0.1616083333333327,1.2463855562424895,0.7054779038143233,0.8399273205547747
Fam167b,-0.22371833333333324,-1.8504927528336028,0.8925625511623019,0.9447552863902386
Fam169a,-0.06228499999999926,-1.6394191074611453,0.8188997093242032,0.9049307759846623
Fam173a,-0.05052666666666816,-0.2627149872055118,0.5570321247835726,0.7463458479710144
Fam174a,0.028736666666666633,0.1420551101551866,0.5523005552567191,0.7431688896159707
Fam174b,-0.04037166666666625,-0.37178185616001747,0.5639523831903122,0.7509676312533797
Fam178a,0.17276000000000113,1.2836338491918449,0.7149017942124406,0.8455186539707096
Fam181b,-0.0538983333333336,-0.4475520429657074,0.5701604914496112,0.7550897241054279
Fam187a,0.021153333333332913,0.1938450853185531,0.5538878000435491,0.7442363872074175
Fam188a,0.07260833333333316,0.6865844064709216,0.5972700230542359,0.7728324676501604
Fam189b,-0.032330000000001746,-0.27220502790194506,0.5575397660548432,0.7466858549985015
Fam192a,-0.026941666666665753,-0.13235554223784463,0.5518820072894407,0.7428876141715116
Fam193b,0.12046833333333318,0.4566914367766263,0.5709869151758433,0.755636761397858
Fam195a,0.02539500000000139,0.1848255048996618,0.5535462550594749,0.7440068918091249
Fam195b,0.003533333333331612,0.011600938232292322,0.5501436665101203,0.7417167023265151
Fam198b,-0.24150166666666628,-2.4603106280985134,1.1554430470067834,1.0749153673693495
Fam19a5,0.07730416666666606,0.6380425474463909,0.6180085700279956,0.7849927995954902
Fam203a,0.04280833333333334,0.35771333547177425,0.5629260913707677,0.7502840071404745
Fam207a,0.13100500000000004,1.4979623861739049,0.7745193393725153,0.8800678038495189
Fam20b,0.06001333333333436,0.07465636951444601,0.5680667356806555,0.7536907082064515
Fam20c,-0.07457666666666629,-0.35777804742462316,0.5629307214552309,0.7502870926886793
Fam21,-0.009464444444445164,-0.19307451272675477,0.5670206053335654,0.7529422297564867
Fam210b,0.06852666666666618,0.37782409077382073,0.5709811130288437,0.7555330021673198
Fam213a,0.03096500000000013,0.13650794938038074,0.5519936503577371,0.7429627516623811
Fam213b,-0.016916666666666913,-0.08047362441090751,0.5507778087559161,0.7421440619959956
