MGI symbol,MoEx_CerCx_Enrich,MoEx_CerCx_Hedges_g,MoEx_CerCx_Var_g,MoEx_CerCx_SEg
Wdr62,-0.13695606060333354,-1.9190513059213208,0.7885631595631938,0.8880107879768093
Wdr63,0.00029833333333417755,0.0025868367520901453,0.48166722431036507,0.6940224955362506
Wdr64,-0.09286083333333384,-0.37294701119679874,0.49325745609671867,0.7023229001653859
Wdr65,-0.04832714285666562,-0.4401168094328692,0.4978085671621139,0.705555502538329
Wdr66,-0.014441538463333181,-0.109052226698968,0.4826576990123335,0.6947357044317886
Wdr67,-0.08762690475999868,-0.6509883009952627,0.5169821473360582,0.7190147059247524
Wdr7,-0.015625555533333113,-0.21952336223766786,0.48568254221401075,0.6969092783239514
Wdr70,0.13316666666666777,1.6624334349107834,0.7119737437924387,0.84378536595063
Wdr72,-0.1963946666666665,-0.732120640925118,0.5263333860723837,0.7254883776273633
Wdr73,0.17806999999999995,0.5259689786825087,0.5047202805446933,0.7104366829948278
Wdr74,0.024838333329999962,0.41562631794437466,0.4960621030139998,0.7043167632635189
Wdr75,0.05226901960666819,0.43585723568180695,0.4974976274913488,0.7053351171544976
Wdr76,0.05840083333333368,0.29501297734682796,0.4889193880669199,0.6992277083089027
Wdr77,-0.06900904761999982,-0.8150553469556844,0.5370262682167543,0.7328207613166772
Wdr78,0.7292845833333335,10.64792209720022,9.929853749003728,3.151167045556888
Wdr81,-0.11487619047666708,-1.344999976725185,0.6324187447825622,0.7952475996710472
Wdr82,0.055238787900000474,1.0850249016318665,0.5797732530967701,0.7614284293988307
Wdr83,-0.11081000000000074,-1.6190655570342338,0.7001144398312145,0.8367284146192326
Wdr85,-0.004863333333334552,-0.06832065213374211,0.48205564262566486,0.6943022703590022
Wdr86,0.1863366666666666,0.7618153266732623,0.5300302159961907,0.7280317410636645
