MGI symbol,430AV2_WB_B6_Enrich,430AV2_WB_B6_Hedges_g,430AV2_WB_B6_Var_g,430AV2_WB_B6_SEg
B3gat1,0.20069666666666694,0.5325587784123924,0.514506868228988,0.7170565181652654
B3gat3,-0.07379666666666829,-3.044635270698518,1.2541503276317865,1.1198885335745636
B3gnt1,-0.024759999999998783,-0.34026090965808625,0.49131479055344557,0.7009385069700805
B3gnt2,0.1331651851851852,0.7171260975539754,0.5254354900217222,0.7248163692881302
B3gnt3,0.3243200000000006,0.676174510833769,0.5197676640917739,0.7209491411270104
B3gnt4,0.028703333333333525,0.3711311851426583,0.49314486304878274,0.7022427379822327
B3gnt5,0.047331282051282356,0.2868291215480524,0.49016400446796016,0.7000994969179228
B3gnt8,0.0007033333333339442,0.00407137966375099,0.4816680480110304,0.6940230889610449
B3gnt9,-0.350786666666667,-1.5306833163980313,0.6769159512582729,0.822749020818787
B3gntl1,0.0587833333333343,0.2420246645048932,0.48654799485239214,0.6975299239834748
B4galnt1,-0.10422333333333356,-0.9499332995914013,0.5568644394727171,0.7462335019769061
B4galnt2,0.06374666666666684,0.4069167441409656,0.49546510305519026,0.7038928207157609
B4galt1,0.13046000000000024,0.48658042353879766,0.5013967090475996,0.7080937148764982
B4galt2,0.1271039999999995,0.27705430333587555,0.496653568188749,0.7046750716051162
B4galt3,-0.08665666666666638,-0.6982331634684861,0.522294129213934,0.722699196909706
B4galt4,0.21316666666666784,0.649693755238289,0.5168418312996358,0.7189171240829055
B4galt5,-0.11169666666666656,-0.6535596003227657,0.5172616792645044,0.7192090650600175
B4galt6,-0.006420666666666542,-0.2451858790377687,0.5060922606770469,0.7113226858766047
B4galt7,0.009713333333333463,0.05371583814955854,0.4819071159390091,0.6941953010061427
B930041F14Rik,-0.11027666666666747,-0.8521911271372964,0.5421858097642945,0.7363326760128838
B9d1,0.16249333333333205,2.075450886616339,0.8406246985630457,0.9168558766584013
B9d2,-0.1664400000000006,-1.8821388538081676,0.7768705554178602,0.881402606881702
BB287469,-0.07198333333333329,-0.4153849659167589,0.4960453891591388,0.7043048978667824
BC001981,0.07523333333333326,0.6963078095919946,0.5220703804749001,0.7225443795884791
BC002059,-0.2164333333333328,-1.1185044661639059,0.5859210200690502,0.7654547798982316
BC003331,-0.1752390476190471,-0.5504473718549947,0.5094872433234611,0.7136865092635275
BC003965,-0.02173666666666696,-0.17474507705412198,0.5372650822260058,0.7328121761930672
BC004004,-0.2369052941176461,-1.7085339666413977,0.7363717775331674,0.8559415627960024
BC005537,0.14788666666666545,0.7862682409584067,0.5558649227097663,0.7437857902593177
BC005561,0.02830666666666737,0.14523003850900154,0.4834243136737771,0.6952872166765164
BC005624,0.029929999999998458,0.5269059253267326,0.5048024878453683,0.7104945375197252
BC006965,0.15476333333333336,1.070328269735241,0.5771335504162028,0.7596930632934612
BC007180,-0.0047233333333327465,-0.027075490517813838,0.4817277568488983,0.6940661040916047
BC016423,0.16519666666666577,0.33083272295931626,0.4907875242150562,0.7005622914595505
BC016548,0.12452666666666667,3.4246800186115625,1.4590361024897742,1.2079056678771627
BC016579,-0.08641666666666659,-0.7275527833052885,0.5257777543746059,0.7251053401917585
BC017158,0.12809999999999988,2.8446180738554308,1.1559876655087482,1.0751686683998694
BC017643,-0.06328333333333358,-0.5637584657580361,0.5081519673094878,0.712847786914912
BC018242,-0.1382266666666645,-0.8330299210129778,0.5394949041085739,0.7345031682086701
BC018473,0.06903380952380932,0.2165668130037997,0.48574092530468593,0.6969503837864439
BC018507,-0.22886333333333386,-0.5089161451818787,0.5032496369022318,0.7094008999869057
BC021614,0.05696999999999974,0.23723657276675886,0.486356765954843,0.6973928347458432
BC021785,0.023853333333333282,0.13021295765081056,0.4830796178616809,0.6950392923149603
BC021891,-0.018420000000000325,-0.10467093518079867,0.4825796670559685,0.6946795427072604
BC022687,-0.11308666666666634,-0.28903644268266415,0.4886285054332206,0.6990196745680486
BC022960,-0.2573366666666663,-1.8158970460797843,0.7564568401634405,0.869745273148087
BC023829,0.06976333333333429,0.6573480331031497,0.5176755363853816,0.7194967243743237
BC024139,-0.15470333333333341,-0.9286226028218922,0.5535283282059754,0.7439948442065815
BC025446,0.019926666666667536,0.05969693517012561,0.4819636436723921,0.6942360143873206
